id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
18986,Boks,Canceled/Ended,Apr/09/2006,Oct/21/2006,Tien,NL,50,0,0,"Crime, Drama, Action",13
18987,Cash & Treasures,Canceled/Ended,Dec/05/2006,Feb/20/2008,travel CHANNEL,US,30,0,0,"Family, Educational, Discovery/Science, Travel",31
18988,Bug Attack,Canceled/Ended,Jul/31/2003,2005,NATIONAL GEOGRAPHIC CHANNEL,GB,50,0,0,"Family, Current Events, Educational, Discovery/Science",1
18993,Gimme My Reality Show,Canceled/Ended,Oct/11/2008,Nov/01/2008,NAT GEO WILD,US,60,4.0000,2,"Comedy, Family, Celebrities",4
19060,Musical Merry-Go-Round,Canceled/Ended,Jul/25/1947,Mar/1949,NBC,US,20,0,0,"Family, Music, Celebrities, Talent",1
19100,Discovery Project Earth,Canceled/Ended,Aug/22/2008,Sep/19/2008,Discovery Channel,US,60,0,0,"Family, Educational, Discovery/Science",8
19127,Music Hall (1952),Canceled/Ended,Jul/01/1952,Sep/25/1952,CBS,US,15,0,0,"Family, Music, Celebrities, Talent",26
19139,Rebelde Way,Canceled/Ended,May/26/2002,2003,Azul TV,AR,43,0,0,"Soaps, Comedy, Drama, Romance/Dating, Family, Music, Teens",239
19184,Prisionera,Canceled/Ended,Mar/10/2004,Dec/06/2004,TELEMUNDO,US,60,0,0,"Soaps, Crime, Drama, Romance/Dating, Mystery",180
19495,"Leugen Regeert, De",Canceled/Ended,Sep/06/2000,Apr/24/2009,VARA,NL,35,0,0,"Politics, Current Events, Debate",163
19500,Vem kan slå Filip och Fredrik,Returning Series,Sep/09/2008,,Kanal 5,SE,120,0,0,,36
19502,Blauw bloed,Returning Series,Sep/04/2004,,EO,NL,35,0,0,"Politics, Current Events, Religion",277
19510,Yvon in de Buurt,New Series,Sep/18/2008,,KRO,NL,30,0,0,"Family, Lifestyle",5
19515,Radar,Returning Series,Sep/16/2002,,TROS,NL,35,0,0,"Crime, Current Events",308
19522,The Dark Side of Fame With Piers Morgan,Canceled/Ended,Sep/08/2008,Oct/27/2008,BBC one,GB,45,0,0,"Celebrities, Lifestyle",8
