id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
1,Fernwood 2Night,Ended,1977-07-04,,Syndication,US,30,0.0,0,Comedy,65
2,America 2Night,Ended,1978-04-10,,Syndication,US,30,0.0,0,Comedy,65
3,"Mary Hartman, Mary Hartman",Ended,1976-01-05,,Syndication,US,30,0.0,0,Comedy,325
4,Sara (1985),Canceled/Ended,Jan/23/1985,May/08/1985,NBC,US,30,0.0,0,Comedy,13
5,Buffalo Bill,Canceled/Ended,Jun/01/1983,Apr/05/1984,NBC,US,30,0.0,0,Comedy,26
6,The Rousters,Canceled/Ended,Oct/01/1983,Jul/21/1984,NBC,US,60,0.0,0,Adventure,13
7,Paper Dolls,To Be Determined,2023-12-03,,Paramount+,US,10,7.0,1,"Drama, Music",12
8,"Marcus Welby, M.D.",Ended,1969-09-23,,ABC,US,60,0.0,0,"Drama, Medical",172
9,Too Close for Comfort,Ended,1980-11-11,,Syndication,US,30,7.0,1,"Comedy, Family",129
10,Bob & Carol & Ted & Alice,Canceled/Ended,Sep/26/1973,Nov/07/1973,ABC,US,30,10.0,1,Comedy,7
11,USA High,Canceled/Ended,Aug/04/1997,Jun/10/1999,USA Network,US,30,10.0,1,Comedy,95
12,The Colbys,Ended,1985-11-20,,ABC,US,60,0.0,0,Drama,49
13,The Betty White Show,Canceled/Ended,Sep/12/1977,Jan/09/1978,CBS,US,30,0.0,0,Comedy,14
14,The Andy Williams Show (1958),Canceled/Ended,Jul/03/1958,Jul/17/1971,NBC,US,60,0.0,0,"Family, Music",7
15,The Courtship of Eddie's Father,Canceled/Ended,Sep/17/1969,Jun/14/1972,ABC,US,30,0.0,0,"Comedy, Romance/Dating, Family",73
16,Forever Fernwood,Ended,1977-10-03,,Syndication,US,30,0.0,0,Comedy,8
17,Seven Brides for Seven Brothers,Canceled/Ended,Sep/19/1982,Mar/23/1983,CBS,US,60,0.0,0,"Drama, Music",22
18,Fallen Angels,Canceled/Ended,Aug/01/1993,Nov/19/1995,SHOWTIME,US,30,0.0,0,"Crime, Drama, Mystery",12
